name,team,result
234,Wolfe,151
235,Wolfe,145
236,Wolfe,148
237,Wolfe,147
241,Wolfe,155
242,Wolfe,174
178,Springende Kangurus,152
180,Springende Kangurus,162
181,Springende Kangurus,164
182,Springende Kangurus,164
183,Springende Kangurus,181
184,Springende Kangurus,138
185,Springende Kangurus,181
188,Springende Kangurus,154
186,Springende Kangurus,187
100,TS Jahn Speedies,144
101,TS Jahn Speedies,170
102,TS Jahn Speedies,142
103,TS Jahn Speedies,160
104,TS Jahn Speedies,162
106,TS Jahn Speedies,140
107,TS Jahn Speedies,155
109,TS Jahn Speedies,164
111,TS Jahn Speedies,149
112,TS Jahn Speedies,164
141,Teilchenbeschleuniger,152
142,Teilchenbeschleuniger,158
143,Teilchenbeschleuniger,147
144,Teilchenbeschleuniger,149
145,Teilchenbeschleuniger,170
146,Teilchenbeschleuniger,145
147,Teilchenbeschleuniger,144
148,Teilchenbeschleuniger,165
149,Teilchenbeschleuniger,155
160,Manzoschule,149
169,Manzoschule,161
164,Manzoschule,140
166,Manzoschule,145
167,Manzoschule,182
168,Manzoschule,186
225,Adler,166
226,Adler,153
227,Adler,149
228,Adler,140
229,Adler,185
230,Adler,135
231,Adler,151
232,Adler,149
260,Putzbrunner Panther,156
261,Putzbrunner Panther,168
262,Putzbrunner Panther,155
263,Putzbrunner Panther,161
264,Putzbrunner Panther,159
265,Putzbrunner Panther,163
266,Putzbrunner Panther,167
267,Putzbrunner Panther,171
268,Putzbrunner Panther,138
269,Putzbrunner Panther,165
270,Putzbrunner Panther,154
150,Quantenspringer,134
151,Quantenspringer,150
152,Quantenspringer,174
153,Quantenspringer,146
154,Quantenspringer,151
155,Quantenspringer,140
156,Quantenspringer,161
157,Quantenspringer,143
159,Quantenspringer,167
