name,team,result
675,Gazelle Haidhausen,8.28
676,Gazelle Haidhausen,8.47
677,Gazelle Haidhausen,8.27
679,Gazelle Haidhausen,8.33
681,Gazelle Haidhausen,8.72
682,Gazelle Haidhausen,8.73
683,Gazelle Haidhausen,8.51
684,Gazelle Haidhausen,9.03
598,Flitzeblitze,8.22
599,Flitzeblitze,8.39
600,Flitzeblitze,8.09
601,Flitzeblitze,8.97
602,Flitzeblitze,7.45
603,Flitzeblitze,8.52
606,Flitzeblitze,7.73
607,Flitzeblitze,8.54
604,Flitzeblitze,7.8
651,Giraffen,7.33
652,Giraffen,8.07
653,Giraffen,8.11
564,Giraffen,9.46
655,Giraffen,9.41
656,Giraffen,8.16
657,Giraffen,10.12
658,Giraffen,9.25
617,Wirbelwinde,7.58
618,Wirbelwinde,8.75
619,Wirbelwinde,8.96
620,Wirbelwinde,8
621,Wirbelwinde,8.96
622,Wirbelwinde,8.18
623,Wirbelwinde,7.75
624,Chilli Willi,7.54
625,Chilli Willi,7.7
626,Chilli Willi,8.54
627,Chilli Willi,7.57
628,Chilli Willi,8.25
629,Chilli Willi,8.01
630,Chilli Willi,8.53
631,Chilli Willi,7.71
632,Chilli Willi,8.61
633,Chilli Willi,7.67
608,Turbotornados,9.03
609,Turbotornados,7.8
610,Turbotornados,8.07
611,Turbotornados,8.74
612,Turbotornados,8.95
613,Turbotornados,7.29
614,Turbotornados,8.01
615,Turbotornados,7.76
616,Turbotornados,7.38
668,Bunte Hunde,7.34
669,Bunte Hunde,9.03
670,Bunte Hunde,7.9
671,Bunte Hunde,8.79
672,Bunte Hunde,9.56
673,Bunte Hunde,7.74
674,Bunte Hunde,8.36
581,Jahn Powerkids,8.34
583,Jahn Powerkids,7.62
584,Jahn Powerkids,7.98
585,Jahn Powerkids,7.9
586,Jahn Powerkids,7.92
587,Jahn Powerkids,8.35
580,Jahn Powerkids,7.62
582,Jahn Powerkids,8
592,Jahn Powerkids,9.03
642,Wolfe,8.35
643,Wolfe,7.81
644,Wolfe,9.44
645,Wolfe,7.89
646,Wolfe,7.62
467,Wolfe,8.15
648,Wolfe,8.75
649,Wolfe,7.77
650,Wolfe,7.59
