name,team,result
119,Bunte Hunde,12
113,Bunte Hunde,16
118,Bunte Hunde,10
115,Bunte Hunde,9
123,Bunte Hunde,6
117,Bunte Hunde,14
114,Bunte Hunde,15
126,Bunte Hunde,9
127,Bunte Hunde,9
116,Bunte Hunde,11
120,Bunte Hunde,7
137,Seminargruppe fur Drehungen,11
138,Seminargruppe fur Drehungen,12
139,Seminargruppe fur Drehungen,9
140,Seminargruppe fur Drehungen,12
141,Seminargruppe fur Drehungen,15
142,Seminargruppe fur Drehungen,4
143,Seminargruppe fur Drehungen,17
144,Seminargruppe fur Drehungen,14
145,Seminargruppe fur Drehungen,10
146,Seminargruppe fur Drehungen,11
147,Seminargruppe fur Drehungen,15
54,Turbo Tiger,8
55,Turbo Tiger,12
56,Turbo Tiger,14
57,Turbo Tiger,8
58,Turbo Tiger,10
59,Turbo Tiger,8
60,Turbo Tiger,18
159,Turbo Tiger,20
61,Mini Adler,3
62,Mini Adler,9
63,Mini Adler,12
64,Mini Adler,10
65,Mini Adler,12
66,Mini Adler,15
67,Mini Adler,11
24,Putzbrunner Panther,12
25,Putzbrunner Panther,14
26,Putzbrunner Panther,10
27,Putzbrunner Panther,15
28,Putzbrunner Panther,13
29,Putzbrunner Panther,7
30,Putzbrunner Panther,10
31,Putzbrunner Panther,10
